,filename,title,author,task 1,task 2,task 3,github,stars
111,Tian_TDAN_Temporally-Deformable_Alignment_Network_for_Video_Super-Resolution_CVPR_2020_paper,TDAN: Temporally-Deformable Alignment Network for Video Super-Resolution,Yapeng Tian,deblurring,super-resolution,video-super-resolution,https://github.com/YapengTian/TDAN-VSR,134
112,Chen_DSGN_Deep_Stereo_Geometry_Network_for_3D_Object_Detection_CVPR_2020_paper,DSGN: Deep Stereo Geometry Network for 3D Object Detection,Yilun Chen,3d-object-detection,object-detection,,https://github.com/chenyilun95/DSGN,128
113,Li_FSS-1000_A_1000-Class_Dataset_for_Few-Shot_Segmentation_CVPR_2020_paper,FSS-1000: A 1000-Class Dataset for Few-Shot Segmentation,Xiang Li,few-shot-image-segmentation,semantic-segmentation,,https://github.com/HKUSTCV/FSS-1000,128
114,Lai_MAST_A_Memory-Augmented_Self-Supervised_Tracker_CVPR_2020_paper,MAST: A Memory-Augmented Self-Supervised Tracker,Zihang Lai,semantic-segmentation,semi-supervised-video-object-segmentation,video-object-segmentation,https://github.com/zlai0/MAST,127
115,Choi_Task_Agnostic_Robust_Learning_on_Corrupt_Outputs_by_Correlation-Guided_Mixture_CVPR_2020_paper,Task Agnostic Robust Learning on Corrupt Outputs by Correlation-Guided Mixture Density Networks,Sungjoon Choi,autonomous-driving,,,https://github.com/sjchoi86/choicenet,123
116,Guizilini_3D_Packing_for_Self-Supervised_Monocular_Depth_Estimation_CVPR_2020_paper,3D Packing for Self-Supervised Monocular Depth Estimation,Vitor Guizilini,depth-estimation,monocular-depth-estimation,self-driving-cars,https://github.com/TRI-ML/DDAD,122
117,Niklaus_Softmax_Splatting_for_Video_Frame_Interpolation_CVPR_2020_paper,Softmax Splatting for Video Frame Interpolation,Simon Niklaus,depth-estimation,optical-flow-estimation,video-frame-interpolation,https://github.com/sniklaus/softmax-splatting,121
118,Zheng_Rethinking_Performance_Estimation_in_Neural_Architecture_Search_CVPR_2020_paper,Rethinking Performance Estimation in Neural Architecture Search,Xiawu Zheng,architecture-search,,,https://github.com/zhengxiawu/rethinking_performance_estimation_in_NAS,115
119,Watson_Footprints_and_Free_Space_From_a_Single_Color_Image_CVPR_2020_paper,Footprints and Free Space From a Single Color Image,Jamie Watson,semantic-segmentation,,,https://github.com/nianticlabs/footprints,113
120,Ding_Learning_Depth-Guided_Convolutions_for_Monocular_3D_Object_Detection_CVPR_2020_paper,Learning Depth-Guided Convolutions for Monocular 3D Object Detection,Mingyu Ding,3d-object-detection,monocular-3d-object-detection,object-detection,https://github.com/dingmyu/D4LCN,113
121,Cornia_Meshed-Memory_Transformer_for_Image_Captioning_CVPR_2020_paper,Meshed-Memory Transformer for Image Captioning,Marcella Cornia,image-captioning,machine-translation,text-generation,https://github.com/aimagelab/meshed-memory-transformer,111
122,Mohamed_Social-STGCNN_A_Social_Spatio-Temporal_Graph_Convolutional_Neural_Network_for_Human_CVPR_2020_paper,Social-STGCNN: A Social Spatio-Temporal Graph Convolutional Neural Network for Human Trajectory Prediction,Abduallah Mohamed,autonomous-vehicles,trajectory-prediction,,https://github.com/abduallahmohamed/Social-STGCNN,111
123,Wang_Self-Supervised_Equivariant_Attention_Mechanism_for_Weakly_Supervised_Semantic_Segmentation_CVPR_2020_paper,Self-Supervised Equivariant Attention Mechanism for Weakly Supervised Semantic Segmentation,Yude Wang,data-augmentation,semantic-segmentation,weakly-supervised-semantic-segmentation,https://github.com/YudeWang/SEAM,109
124,Yang_FaceScape_A_Large-Scale_High_Quality_3D_Face_Dataset_and_Detailed_CVPR_2020_paper,FaceScape: A Large-Scale High Quality 3D Face Dataset and Detailed Riggable 3D Face Prediction,Haotian Yang,,,,https://github.com/zhuhao-nju/facescape,107
125,Long_UnrealText_Synthesizing_Realistic_Scene_Text_Images_From_the_Unreal_World_CVPR_2020_paper,UnrealText: Synthesizing Realistic Scene Text Images From the Unreal World,Shangbang Long,image-generation,scene-text,scene-text-detection,https://github.com/Jyouhou/UnrealText,103
126,Tan_Equalization_Loss_for_Long-Tailed_Object_Recognition_CVPR_2020_paper,Equalization Loss for Long-Tailed Object Recognition,Jingru Tan,object-detection,object-recognition,,https://github.com/tztztztztz/eql.detectron2,102
127,Tassano_FastDVDnet_Towards_Real-Time_Deep_Video_Denoising_Without_Flow_Estimation_CVPR_2020_paper,FastDVDnet: Towards Real-Time Deep Video Denoising Without Flow Estimation,Matias Tassano,denoising,motion-compensation,motion-estimation,https://github.com/m-tassano/fastdvdnet,102
128,Wang_Suppressing_Uncertainties_for_Large-Scale_Facial_Expression_Recognition_CVPR_2020_paper,Suppressing Uncertainties for Large-Scale Facial Expression Recognition,Kai Wang,facial-expression-recognition,,,https://github.com/kaiwang960112/Self-Cure-Network,101
129,Lang_SampleNet_Differentiable_Point_Cloud_Sampling_CVPR_2020_paper,SampleNet: Differentiable Point Cloud Sampling,Itai Lang,point-cloud-registration,,,https://github.com/orendv/learning_to_sample,100
130,Zamir_CycleISP_Real_Image_Restoration_via_Improved_Data_Synthesis_CVPR_2020_paper,CycleISP: Real Image Restoration via Improved Data Synthesis,Syed Waqas Zamir,denoising,image-denoising,image-restoration,https://github.com/swz30/CycleISP,98
131,Liu_Disentangling_and_Unifying_Graph_Convolutions_for_Skeleton-Based_Action_Recognition_CVPR_2020_paper,Disentangling and Unifying Graph Convolutions for Skeleton-Based Action Recognition,Ziyu Liu,stochastic-optimization,,,https://github.com/kenziyuliu/ms-g3d,98
132,Xu_AANet_Adaptive_Aggregation_Network_for_Efficient_Stereo_Matching_CVPR_2020_paper,AANet: Adaptive Aggregation Network for Efficient Stereo Matching,Haofei Xu,stereo-matching-1,,,https://github.com/haofeixu/aanet,98
133,Jiang_Coherent_Reconstruction_of_Multiple_Humans_From_a_Single_Image_CVPR_2020_paper,Coherent Reconstruction of Multiple Humans From a Single Image,Wen Jiang,3d-pose-estimation,3d-reconstruction,instance-segmentation,https://github.com/JiangWenPL/multiperson,98
134,Li_Celeb-DF_A_Large-Scale_Challenging_Dataset_for_DeepFake_Forensics_CVPR_2020_paper,Celeb-DF: A Large-Scale Challenging Dataset for DeepFake Forensics,Yuezun Li,deepfake-detection,face-swapping,,https://github.com/danmohaha/celeb-deepfakeforensics,96
135,Mei_Image_Super-Resolution_With_Cross-Scale_Non-Local_Attention_and_Exhaustive_Self-Exemplars_Mining_CVPR_2020_paper,Image Super-Resolution With Cross-Scale Non-Local Attention and Exhaustive Self-Exemplars Mining,Yiqun Mei,image-super-resolution,super-resolution,,https://github.com/SHI-Labs/Cross-Scale-Non-Local-Attention,96
136,Li_SGAS_Sequential_Greedy_Architecture_Search_CVPR_2020_paper,SGAS: Sequential Greedy Architecture Search,Guohao Li,image-classification,architecture-search,node-classification,https://github.com/lightaime/sgas,94
137,Singh_Filter_Response_Normalization_Layer_Eliminating_Batch_Dependence_in_the_Training_CVPR_2020_paper,Filter Response Normalization Layer: Eliminating Batch Dependence in the Training of Deep Neural Networks,Saurabh Singh,image-classification,object-detection,,https://github.com/gupta-abhay/pytorch-frn,94
138,Ma_Deep_Face_Super-Resolution_With_Iterative_Collaboration_Between_Attentive_Recovery_and_CVPR_2020_paper,Deep Face Super-Resolution With Iterative Collaboration Between Attentive Recovery and Landmark Estimation,Cheng Ma,super-resolution,,,https://github.com/Maclory/Deep-Iterative-Collaboration,94
139,Jiang_PointGroup_Dual-Set_Point_Grouping_for_3D_Instance_Segmentation_CVPR_2020_paper,PointGroup: Dual-Set Point Grouping for 3D Instance Segmentation,Li Jiang,3d-instance-segmentation-1,instance-segmentation,scene-understanding,https://github.com/Jia-Research-Lab/PointGroup,94
140,Gu_Cascade_Cost_Volume_for_High-Resolution_Multi-View_Stereo_and_Stereo_Matching_CVPR_2020_paper,Cascade Cost Volume for High-Resolution Multi-View Stereo and Stereo Matching,Xiaodong Gu,stereo-matching-1,,,https://github.com/alibaba/cascade-stereo,93
141,Zhang_Deep_Relational_Reasoning_Graph_Network_for_Arbitrary_Shape_Text_Detection_CVPR_2020_paper,Deep Relational Reasoning Graph Network for Arbitrary Shape Text Detection,Shi-Xue Zhang,graph-construction,relational-reasoning,,https://github.com/GXYM/DRRG,93
142,Yi_Contextual_Residual_Aggregation_for_Ultra_High-Resolution_Image_Inpainting_CVPR_2020_paper,Contextual Residual Aggregation for Ultra High-Resolution Image Inpainting,Zili Yi,image-inpainting,,,https://github.com/Atlas200dk/sample-imageinpainting-HiFill,92
143,Huang_Adversarial_Texture_Optimization_From_RGB-D_Scans_CVPR_2020_paper,Adversarial Texture Optimization From RGB-D Scans,Jingwei Huang,texture-synthesis,,,https://github.com/hjwdzh/AdversarialTexture,91
144,Wan_Super-BPD_Super_Boundary-to-Pixel_Direction_for_Fast_Image_Segmentation_CVPR_2020_paper,Super-BPD: Super Boundary-to-Pixel Direction for Fast Image Segmentation,Jianqiang Wan,semantic-segmentation,,,https://github.com/JianqiangWan/Super-BPD,91
145,Liu_Violin_A_Large-Scale_Dataset_for_Video-and-Language_Inference_CVPR_2020_paper,Violin: A Large-Scale Dataset for Video-and-Language Inference,Jingzhou Liu,,,,https://github.com/jimmy646/violin,90
146,Chen_End-to-End_Learnable_Geometric_Vision_by_Backpropagating_PnP_Optimization_CVPR_2020_paper,End-to-End Learnable Geometric Vision by Backpropagating PnP Optimization,Bo Chen,6d-pose-estimation-1,6d-pose-estimation,,https://github.com/BoChenYS/BPnP,90
147,Yang_CARS_Continuous_Evolution_for_Efficient_Neural_Architecture_Search_CVPR_2020_paper,CARS: Continuous Evolution for Efficient Neural Architecture Search,Zhaohui Yang,architecture-search,,,https://github.com/huawei-noah/CARS,89
148,Wang_Deep_Spatial_Gradient_and_Temporal_Depth_Learning_for_Face_Anti-Spoofing_CVPR_2020_paper,Deep Spatial Gradient and Temporal Depth Learning for Face Anti-Spoofing,Zezheng Wang,face-anti-spoofing,face-recognition,,https://github.com/clks-wzz/FAS-SGTD,88
149,Zhang_PolarNet_An_Improved_Grid_Representation_for_Online_LiDAR_Point_Clouds_CVPR_2020_paper,PolarNet: An Improved Grid Representation for Online LiDAR Point Clouds Semantic Segmentation,Yang Zhang,3d-semantic-segmentation,autonomous-driving,semantic-segmentation,https://github.com/edwardzhou130/PolarSeg,86
150,Li_Block-Wisely_Supervised_Neural_Architecture_Search_With_Knowledge_Distillation_CVPR_2020_paper,Block-Wisely Supervised Neural Architecture Search With Knowledge Distillation,Changlin Li,architecture-search,,,https://github.com/changlin31/DNA,85
151,Pan_X-Linear_Attention_Networks_for_Image_Captioning_CVPR_2020_paper,X-Linear Attention Networks for Image Captioning,Yingwei Pan,fine-grained-visual-recognition,image-captioning,question-answering,https://github.com/Panda-Peter/image-captioning,84
152,Luo_ASLFeat_Learning_Local_Features_of_Accurate_Shape_and_Localization_CVPR_2020_paper,ASLFeat: Learning Local Features of Accurate Shape and Localization,Zixin Luo,face-recognition,image-retrieval,person-re-identification,https://github.com/lzx551402/ASLFeat,83
153,Liu_Mnemonics_Training_Multi-Class_Incremental_Learning_Without_Forgetting_CVPR_2020_paper,Mnemonics Training: Multi-Class Incremental Learning Without Forgetting,Yaoyao Liu,,,,https://github.com/yaoyao-liu/mnemonics,82
154,Yan_PointASNL_Robust_Point_Clouds_Processing_Using_Nonlocal_Neural_Networks_With_CVPR_2020_paper,PointASNL: Robust Point Clouds Processing Using Nonlocal Neural Networks With Adaptive Sampling,Xu Yan,,,,https://github.com/yanx27/PointASNL,82
155,Lin_HRank_Filter_Pruning_Using_High-Rank_Feature_Map_CVPR_2020_paper,HRank: Filter Pruning Using High-Rank Feature Map,Mingbao Lin,network-pruning,,,https://github.com/lmbxmu/HRank,81
156,Pan_Dynamic_Refinement_Network_for_Oriented_and_Densely_Packed_Object_Detection_CVPR_2020_paper,Dynamic Refinement Network for Oriented and Densely Packed Object Detection,Xingjia Pan,feature-selection,object-detection,,https://github.com/Anymake/DRN_CVPR2020,81
157,Zhou_KFNet_Learning_Temporal_Camera_Relocalization_Using_Kalman_Filtering_CVPR_2020_paper,KFNet: Learning Temporal Camera Relocalization Using Kalman Filtering,Lei Zhou,camera-relocalization,,,https://github.com/zlthinker/KFNet,80
158,Lambert_MSeg_A_Composite_Dataset_for_Multi-Domain_Semantic_Segmentation_CVPR_2020_paper,MSeg: A Composite Dataset for Multi-Domain Semantic Segmentation,John Lambert,semantic-segmentation,,,https://github.com/mseg-dataset/mseg-api,79
159,Guo_Learning_Meta_Face_Recognition_in_Unseen_Domains_CVPR_2020_paper,Learning Meta Face Recognition in Unseen Domains,Jianzhu Guo,domain-generalization,face-anti-spoofing,face-recognition,https://github.com/cleardusk/MFR,79
160,Li_PaStaNet_Toward_Human_Activity_Knowledge_Engine_CVPR_2020_paper,PaStaNet: Toward Human Activity Knowledge Engine,Yong-Lu Li,human-object-interaction-detection,transfer-learning,,https://github.com/DirtyHarryLYL/HAKE,79
161,Huang_PF-Net_Point_Fractal_Network_for_3D_Point_Cloud_Completion_CVPR_2020_paper,PF-Net: Point Fractal Network for 3D Point Cloud Completion,Zitian Huang,,,,https://github.com/zztianzz/PF-Net-Point-Fractal-Network,78
162,Bai_D3Feat_Joint_Learning_of_Dense_Detection_and_Description_of_3D_CVPR_2020_paper,D3Feat: Joint Learning of Dense Detection and Description of 3D Local Features,Xuyang Bai,face-recognition,image-retrieval,person-re-identification,https://github.com/XuyangBai/D3Feat,78
163,Daras_Your_Local_GAN_Designing_Two_Dimensional_Local_Attention_Mechanisms_for_CVPR_2020_paper,Your Local GAN: Designing Two Dimensional Local Attention Mechanisms for Generative Models,Giannis Daras,conditional-image-generation,deep-attention,image-generation,https://github.com/giannisdaras/ylg,77
164,Sun_Disp_R-CNN_Stereo_3D_Object_Detection_via_Shape_Prior_Guided_CVPR_2020_paper,Disp R-CNN: Stereo 3D Object Detection via Shape Prior Guided Instance Disparity Estimation,Jiaming Sun,3d-object-detection,3d-object-detection-from-stereo-images,disparity-estimation,https://github.com/zju3dv/disprcnn,76
165,Hur_Self-Supervised_Monocular_Scene_Flow_Estimation_CVPR_2020_paper,Self-Supervised Monocular Scene Flow Estimation,Junhwa Hur,depth-estimation,monocular-depth-estimation,optical-flow-estimation,https://github.com/visinf/self-mono-sf,76
166,Huang_The_Devil_Is_in_the_Details_Delving_Into_Unbiased_Data_CVPR_2020_paper,The Devil Is in the Details: Delving Into Unbiased Data Processing for Human Pose Estimation,Junjie Huang,pose-estimation,,,https://github.com/HuangJunJie2017/UDP-Pose,76
167,Fan_Camouflaged_Object_Detection_CVPR_2020_paper,Camouflaged Object Detection,Deng-Ping Fan,object-detection,,,https://github.com/DengPingFan/SINet,76
168,Wang_ContourNet_Taking_a_Further_Step_Toward_Accurate_Arbitrary-Shaped_Scene_Text_CVPR_2020_paper,ContourNet: Taking a Further Step Toward Accurate Arbitrary-Shaped Scene Text Detection,Yuxin Wang,region-proposal,scene-text,scene-text-detection,https://github.com/wangyuxin87/ContourNet,75
169,Kim_Proxy_Anchor_Loss_for_Deep_Metric_Learning_CVPR_2020_paper,Proxy Anchor Loss for Deep Metric Learning,Sungyeon Kim,fine-grained-image-classification,fine-grained-vehicle-classification,metric-learning,https://github.com/tjddus9597/Proxy-Anchor-CVPR2020,75
170,Choi_Cars_Cant_Fly_Up_in_the_Sky_Improving_Urban-Scene_Segmentation_CVPR_2020_paper,Cars Can't Fly Up in the Sky: Improving Urban-Scene Segmentation via Height-Driven Attention Networks,Sungha Choi,scene-segmentation,semantic-segmentation,,https://github.com/shachoi/HANet,75
171,Meng_Filter_Grafting_for_Deep_Neural_Networks_CVPR_2020_paper,Filter Grafting for Deep Neural Networks,Fanxu Meng,,,,https://github.com/fxmeng/filter-grafting,75
172,Wei_A_Physics-Based_Noise_Formation_Model_for_Extreme_Low-Light_Raw_Denoising_CVPR_2020_paper,A Physics-Based Noise Formation Model for Extreme Low-Light Raw Denoising,Kaixuan Wei,denoising,image-denoising,,https://github.com/Vandermode/NoiseModel,75
173,Voigtlaender_Siam_R-CNN_Visual_Tracking_by_Re-Detection_CVPR_2020_paper,Siam R-CNN: Visual Tracking by Re-Detection,Paul Voigtlaender,object-detection,object-tracking,visual-object-tracking,https://github.com/VisualComputingInstitute/SiamR-CNN,74
174,Zhao_Towards_Better_Generalization_Joint_Depth-Pose_Learning_Without_PoseNet_CVPR_2020_paper,Towards Better Generalization: Joint Depth-Pose Learning Without PoseNet,Wang Zhao,depth-estimation,optical-flow-estimation,pose-estimation,https://github.com/B1ueber2y/TrianFlow,74
175,Alharbi_Disentangled_Image_Generation_Through_Structured_Noise_Injection_CVPR_2020_paper,Disentangled Image Generation Through Structured Noise Injection,Yazeed Alharbi,image-generation,,,https://github.com/yalharbi/StructuredNoiseInjection,73
176,Wang_Neural_Pose_Transfer_by_Spatially_Adaptive_Instance_Normalization_CVPR_2020_paper,Neural Pose Transfer by Spatially Adaptive Instance Normalization,Jiashun Wang,pose-transfer,style-transfer,,https://github.com/jiashunwang/Neural-Pose-Transfer,73
177,Chen_BSP-Net_Generating_Compact_Meshes_via_Binary_Space_Partitioning_CVPR_2020_paper,BSP-Net: Generating Compact Meshes via Binary Space Partitioning,Zhiqin Chen,3d-reconstruction,3d-shape-representation,,https://github.com/czq142857/BSP-NET-original,73
